iter	Passed	Remaining
0	2	1316
1	5	1383
2	8	1397
3	11	1373
4	13	1373
5	16	1366
6	19	1361
7	22	1364
8	24	1359
9	27	1355
10	30	1347
11	32	1337
12	35	1330
13	38	1326
14	40	1321
15	43	1315
16	46	1309
17	48	1303
18	51	1297
19	54	1298
20	56	1294
21	59	1291
22	62	1290
23	64	1287
24	67	1287
25	70	1286
26	73	1283
27	75	1280
28	78	1277
29	81	1273
30	84	1273
31	86	1272
32	89	1269
33	92	1267
34	95	1265
35	97	1262
36	100	1263
37	103	1261
38	106	1259
39	109	1257
40	112	1254
41	114	1252
42	117	1251
43	120	1248
44	123	1245
45	125	1242
46	128	1239
47	131	1236
48	134	1233
49	136	1230
50	139	1227
51	142	1223
52	144	1221
53	147	1218
54	150	1215
55	152	1212
56	155	1209
57	158	1206
58	161	1203
59	163	1201
60	166	1198
61	169	1195
62	171	1192
63	174	1189
64	177	1187
65	180	1184
66	182	1181
67	185	1178
68	188	1176
69	191	1174
70	193	1172
71	196	1168
72	199	1166
73	202	1164
74	205	1161
75	207	1159
76	210	1157
77	213	1154
78	216	1152
79	219	1150
80	221	1148
81	224	1145
82	227	1143
83	230	1141
84	233	1139
85	236	1137
86	239	1134
87	241	1131
88	244	1128
89	247	1126
90	250	1123
91	252	1121
92	255	1118
93	258	1116
94	261	1113
95	264	1111
96	266	1108
97	269	1106
98	272	1104
99	275	1102
100	278	1099
101	281	1097
102	283	1094
103	286	1091
104	289	1089
105	292	1086
106	295	1085
107	298	1083
108	301	1082
109	304	1079
110	307	1076
111	309	1073
112	312	1070
113	315	1068
114	318	1065
115	320	1062
116	323	1059
117	326	1056
118	329	1053
119	331	1051
120	334	1048
121	337	1044
122	339	1041
123	342	1038
124	345	1035
125	347	1032
126	350	1029
127	353	1026
128	356	1024
129	358	1021
130	361	1019
131	364	1016
132	367	1013
133	370	1011
134	372	1008
135	375	1005
136	378	1003
137	381	1000
138	384	997
139	386	994
140	389	992
141	392	989
142	395	987
143	398	984
144	401	982
145	404	980
146	407	977
147	409	975
148	412	972
149	415	970
150	418	967
151	421	965
152	424	963
153	427	961
154	431	959
155	434	957
156	437	955
157	440	953
158	443	950
159	446	948
160	449	945
161	452	943
162	455	941
163	458	939
164	461	936
165	464	934
166	467	931
167	470	929
168	473	926
169	476	924
170	479	921
171	482	919
172	485	917
173	488	914
174	491	912
175	493	909
176	496	906
177	500	904
178	503	902
179	506	899
180	509	897
181	511	894
182	514	891
183	517	889
184	520	886
185	523	883
186	526	880
187	528	877
188	531	874
189	534	872
190	537	869
191	540	866
192	542	863
193	545	860
194	548	857
195	551	854
196	553	852
197	556	849
198	559	846
199	562	843
200	565	840
201	568	837
202	570	835
203	573	832
204	576	829
205	579	826
206	581	823
207	584	821
208	587	818
209	590	815
210	593	812
211	596	810
212	599	807
213	602	805
214	605	802
215	608	800
216	611	797
217	614	794
218	617	792
219	620	789
220	623	787
221	626	784
222	629	782
223	632	779
224	635	776
225	638	773
226	641	771
227	644	768
228	647	766
229	650	763
230	653	760
231	656	758
232	659	755
233	662	752
234	665	750
235	668	747
236	671	744
237	674	742
238	677	739
239	679	736
240	682	733
241	685	730
242	688	728
243	691	725
244	694	722
245	697	719
246	700	717
247	703	714
248	706	711
249	708	708
250	711	706
251	714	703
252	717	700
253	720	697
254	722	694
255	725	691
256	728	688
257	731	685
258	734	683
259	736	680
260	739	677
261	742	674
262	745	671
263	748	668
264	750	665
265	753	663
266	756	660
267	759	657
268	762	654
269	765	651
270	767	648
271	770	645
272	773	643
273	776	640
274	779	637
275	782	634
276	785	632
277	788	629
278	790	626
279	793	623
280	796	621
281	799	618
282	802	615
283	805	612
284	808	610
285	811	607
286	814	604
287	817	601
288	820	598
289	823	596
290	826	593
291	829	590
292	832	587
293	835	585
294	838	582
295	841	579
296	844	576
297	847	574
298	850	571
299	853	568
300	855	565
301	858	563
302	861	560
303	865	557
304	868	554
305	870	552
306	873	549
307	876	546
308	879	543
309	882	541
310	885	538
311	888	535
312	891	532
313	894	530
314	897	527
315	901	524
316	904	522
317	907	519
318	910	516
319	913	513
320	916	511
321	919	508
322	922	505
323	925	502
324	928	499
325	931	497
326	933	494
327	936	491
328	939	488
329	942	485
330	945	482
331	948	479
332	951	477
333	954	474
334	956	471
335	959	468
336	962	465
337	965	462
338	968	459
339	971	456
340	974	454
341	976	451
342	979	448
343	982	445
344	985	442
345	988	439
346	991	437
347	994	434
348	997	431
349	999	428
350	1002	425
351	1005	422
352	1008	420
353	1011	417
354	1014	414
355	1017	411
356	1020	408
357	1023	406
358	1026	403
359	1029	400
360	1032	397
361	1035	394
362	1038	392
363	1041	389
364	1044	386
365	1047	383
366	1050	380
367	1053	377
368	1056	375
369	1059	372
370	1062	369
371	1065	366
372	1068	363
373	1071	360
374	1074	358
375	1077	355
376	1080	352
377	1083	349
378	1086	346
379	1089	343
380	1091	341
381	1094	338
382	1098	335
383	1101	332
384	1103	329
385	1106	326
386	1109	324
387	1112	321
